epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,158.07,0.42367,0.37278,0.39837,0.94809,0.99618,1,0.995,0.91525,0.99618,1,0.995,0.995,0.36713,0.21293,0.34269,1.01004,0.0013862,0.0013862,0.0013862
33,163.445,0.41588,0.36999,0.38627,0.94706,0.9954,1,0.995,0.94334,0.9954,1,0.995,0.995,0.31939,0.252,0.30253,0.95087,0.0013664,0.0013664,0.0013664
34,167.872,0.40113,0.38157,0.37479,0.92428,0.99466,1,0.995,0.94583,0.99466,1,0.995,0.995,0.33617,0.22309,0.36606,0.9407,0.0013466,0.0013466,0.0013466
35,172.272,0.42466,0.37735,0.37437,0.94439,0.99705,1,0.995,0.96662,0.99705,1,0.995,0.995,0.27576,0.23488,0.3197,0.91609,0.0013268,0.0013268,0.0013268
36,177.827,0.43394,0.4178,0.37543,0.93798,0.99704,1,0.995,0.9879,0.99704,1,0.995,0.995,0.29167,0.24701,0.31596,0.939,0.001307,0.001307,0.001307
37,182.256,0.41684,0.39658,0.37388,0.9384,0.99496,1,0.995,0.95952,0.99496,1,0.995,0.995,0.30356,0.24014,0.33493,0.92188,0.0012872,0.0012872,0.0012872
38,187.525,0.40091,0.36483,0.35597,0.93306,0.98615,1,0.995,0.96782,0.98615,1,0.995,0.995,0.28592,0.23517,0.34781,0.90693,0.0012674,0.0012674,0.0012674
39,192.091,0.40187,0.38371,0.34464,0.92443,0.99456,1,0.995,0.94726,0.99456,1,0.995,0.98478,0.32768,0.24584,0.34988,0.94141,0.0012476,0.0012476,0.0012476
40,196.498,0.39667,0.37264,0.35038,0.93437,0.99642,1,0.995,0.92467,0.99642,1,0.995,0.995,0.33014,0.20374,0.33659,0.97818,0.0012278,0.0012278,0.0012278
41,202.046,0.38802,0.39895,0.34696,0.91566,0.99683,1,0.995,0.93736,0.99683,1,0.995,0.9801,0.38095,0.21966,0.35759,0.95517,0.001208,0.001208,0.001208
42,206.438,0.40154,0.36888,0.35305,0.94271,0.99675,1,0.995,0.97114,0.99675,1,0.995,0.995,0.29743,0.21387,0.29641,0.93936,0.0011882,0.0011882,0.0011882
43,210.87,0.37921,0.34722,0.33788,0.93912,0.99682,1,0.995,0.97482,0.99682,1,0.995,0.995,0.28643,0.20132,0.25006,0.91059,0.0011684,0.0011684,0.0011684
44,216.273,0.39241,0.38176,0.34248,0.93917,0.9915,1,0.995,0.9744,0.9915,1,0.995,0.995,0.26067,0.21357,0.26109,0.90171,0.0011486,0.0011486,0.0011486
45,220.895,0.36047,0.34096,0.31838,0.90877,0.99695,1,0.995,0.96037,0.99695,1,0.995,0.995,0.30376,0.23198,0.27403,0.92692,0.0011288,0.0011288,0.0011288
46,226.082,0.36785,0.33441,0.31461,0.92948,0.9945,1,0.995,0.97354,0.9945,1,0.995,0.995,0.27598,0.24464,0.2754,0.91645,0.001109,0.001109,0.001109
47,230.628,0.38886,0.39712,0.33691,0.94242,0.99606,1,0.995,0.95423,0.99606,1,0.995,0.995,0.25742,0.22469,0.27989,0.91392,0.0010892,0.0010892,0.0010892
48,235.085,0.37821,0.3586,0.3193,0.91524,0.99425,1,0.995,0.9611,0.99425,1,0.995,0.995,0.29577,0.20985,0.28058,0.91041,0.0010694,0.0010694,0.0010694
49,240.509,0.37506,0.32084,0.31457,0.93488,0.99565,1,0.995,0.98969,0.99565,1,0.995,0.995,0.2808,0.20635,0.246,0.91064,0.0010496,0.0010496,0.0010496
50,245.103,0.37508,0.34676,0.31302,0.9145,0.99206,1,0.995,0.98621,0.99206,1,0.995,0.995,0.24658,0.21177,0.26536,0.88965,0.0010298,0.0010298,0.0010298
51,249.476,0.34988,0.31597,0.30512,0.92308,0.99661,1,0.995,0.98792,0.99661,1,0.995,0.995,0.24707,0.2236,0.22628,0.88553,0.00101,0.00101,0.00101
52,254.86,0.35774,0.35899,0.3005,0.91837,0.997,1,0.995,0.95542,0.997,1,0.995,0.995,0.32233,0.22611,0.24948,0.93926,0.0009902,0.0009902,0.0009902
53,259.286,0.34798,0.32194,0.29763,0.93495,0.99696,1,0.995,0.98865,0.99696,1,0.995,0.995,0.26915,0.25445,0.25458,0.90809,0.0009704,0.0009704,0.0009704
54,264.611,0.36094,0.34456,0.30142,0.92214,0.99687,1,0.995,0.98228,0.99687,1,0.995,0.995,0.23914,0.25425,0.20888,0.88829,0.0009506,0.0009506,0.0009506
55,269.282,0.36066,0.36728,0.31915,0.93048,0.99638,1,0.995,0.99009,0.99638,1,0.995,0.995,0.27391,0.21023,0.24539,0.90774,0.0009308,0.0009308,0.0009308
56,273.69,0.36526,0.39986,0.31118,0.92591,0.99529,1,0.995,0.98698,0.99529,1,0.995,0.995,0.24189,0.1964,0.213,0.88472,0.000911,0.000911,0.000911
57,279.173,0.36257,0.36906,0.29983,0.8961,0.99684,1,0.995,0.97359,0.99684,1,0.995,0.995,0.29455,0.20684,0.23528,0.91214,0.0008912,0.0008912,0.0008912
58,283.536,0.34107,0.33692,0.28479,0.90507,0.99683,1,0.995,0.96942,0.99683,1,0.995,0.995,0.29828,0.20534,0.21809,0.90444,0.0008714,0.0008714,0.0008714
59,287.912,0.33929,0.31726,0.28572,0.90849,0.99686,1,0.995,0.97586,0.99686,1,0.995,0.995,0.27121,0.19809,0.22709,0.89866,0.0008516,0.0008516,0.0008516
60,293.317,0.32516,0.33497,0.27697,0.89954,0.99697,1,0.995,0.98353,0.99697,1,0.995,0.995,0.25296,0.19127,0.21088,0.8853,0.0008318,0.0008318,0.0008318
