epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.15176,1.95752,3.6925,2.11075,0.01315,0.68571,0.07816,0.02541,1.97463,3.33361,2.60472,4.998e-05,4.998e-05,4.998e-05
2,7.53878,1.76145,3.65348,1.98175,0.01405,0.71429,0.13738,0.06618,1.54054,3.33147,2.05444,0.000107218,0.000107218,0.000107218
3,10.7641,1.53995,3.50022,1.75776,0.01497,0.82857,0.23806,0.13037,1.37986,3.29756,1.87455,0.000163301,0.000163301,0.000163301
4,13.6257,1.45752,3.32888,1.68004,0.01587,0.91429,0.24304,0.12974,1.46353,3.28675,1.8596,0.00021823,0.00021823,0.00021823
5,15.8306,1.52879,3.23956,1.73339,0.01664,0.94286,0.22467,0.14756,1.56649,3.23675,1.9955,0.000272004,0.000272004,0.000272004
6,18.0519,1.46223,3.06527,1.68319,0.01688,0.91429,0.25921,0.18755,1.44384,3.17387,1.90643,0.000324624,0.000324624,0.000324624
7,20.4103,1.54919,2.94437,1.73425,0.01912,0.91429,0.25892,0.17516,1.52696,2.99592,1.92475,0.00037609,0.00037609,0.00037609
8,22.6489,1.44712,2.85302,1.6453,1,0.18037,0.27574,0.18907,1.61798,2.8303,1.98136,0.0004264,0.0004264,0.0004264
9,26.0317,1.46034,2.74398,1.63712,0.99328,0.2,0.27339,0.16849,1.7311,2.73365,2.11301,0.000475556,0.000475556,0.000475556
10,28.5566,1.41335,2.62248,1.59114,0.99759,0.18,0.24753,0.17876,1.58458,2.50921,2.03739,0.000523558,0.000523558,0.000523558
11,30.9096,1.39993,2.55281,1.60837,0.98151,0.2,0.24866,0.15174,1.71249,2.48131,2.17207,0.000570405,0.000570405,0.000570405
12,33.1851,1.3237,2.43126,1.56801,0.99234,0.14,0.29901,0.15667,1.58959,2.68202,2.05807,0.000616098,0.000616098,0.000616098
13,35.4003,1.36562,2.50466,1.57977,0.93146,0.2,0.24661,0.15877,1.45436,2.56793,1.94725,0.000660636,0.000660636,0.000660636
14,38.2158,1.31054,2.33092,1.5692,0.98151,0.19664,0.34328,0.23945,1.26569,2.3444,1.73348,0.000704019,0.000704019,0.000704019
15,41.4775,1.28345,2.28779,1.54837,0.98172,0.19896,0.28532,0.1972,1.21906,2.38813,1.80442,0.000717546,0.000717546,0.000717546
16,43.7191,1.22694,2.19838,1.49329,0.98036,0.2,0.26091,0.17508,1.23799,2.35315,1.75313,0.000709299,0.000709299,0.000709299
17,45.8007,1.25512,2.13093,1.51421,0.98155,0.19703,0.25361,0.18036,1.22024,2.26553,1.79553,0.000701053,0.000701053,0.000701053
18,48.1144,1.24041,2.09808,1.51772,0.57785,0.22857,0.2805,0.21781,1.31191,2.12293,1.84127,0.000692806,0.000692806,0.000692806
19,50.426,1.22662,2.03442,1.4803,0.60766,0.33613,0.30836,0.21995,1.32064,2.21429,1.82263,0.000684559,0.000684559,0.000684559
20,53.4806,1.10002,1.92289,1.39948,0.32773,0.48571,0.34445,0.23823,1.18516,2.19478,1.66742,0.000676313,0.000676313,0.000676313
21,56.2545,1.17301,1.96861,1.45383,0.40307,0.42857,0.37842,0.24689,1.12982,2.21539,1.64093,0.000668066,0.000668066,0.000668066
22,58.6087,1.11911,1.89788,1.41472,0.52562,0.29722,0.28475,0.18638,1.3094,2.27828,1.82501,0.000659819,0.000659819,0.000659819
23,60.8039,1.20189,1.88089,1.44507,0.26644,0.27014,0.24732,0.18913,1.31727,2.28619,1.74751,0.000651573,0.000651573,0.000651573
24,63.0718,1.16649,1.87472,1.46051,0.27775,0.33748,0.26982,0.21162,1.29883,2.17731,1.7395,0.000643326,0.000643326,0.000643326
25,65.4618,1.17839,1.87682,1.4429,0.29698,0.40307,0.27965,0.21851,1.22914,2.38822,1.65754,0.000635079,0.000635079,0.000635079
26,69.0137,1.22035,1.92281,1.47202,0.32424,0.25212,0.26713,0.17995,1.30158,2.63035,1.83899,0.000626832,0.000626832,0.000626832
27,71.4001,1.14873,1.86396,1.43417,0.26983,0.26571,0.24886,0.167,1.30364,2.826,1.84081,0.000618586,0.000618586,0.000618586
28,73.7457,1.13188,1.85663,1.39764,0.20415,0.34286,0.23419,0.16855,1.25955,2.41919,1.78158,0.000610339,0.000610339,0.000610339
29,75.8986,1.14831,1.81207,1.41805,0.20348,0.31429,0.23995,0.17367,1.23832,2.22202,1.73681,0.000602092,0.000602092,0.000602092
