epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.087,0.86274,1.53324,4.88323,0.96963,0.0059,0.66667,0.07965,0.06348,0.0059,0.66667,0.08199,0.07593,0.57487,0.66663,3.65685,0.78117,0.0001125,0.0001125,0.0001125
2,18.6551,0.75728,1.11048,4.40234,0.87367,0.00964,0.91667,0.16292,0.13233,0.00964,0.91667,0.17258,0.15545,0.68945,0.67805,3.6187,0.80428,0.000228961,0.000228961,0.000228961
3,26.0397,0.79764,1.04984,4.08339,0.89615,0.00578,0.77778,0.2366,0.19723,0.00692,0.95833,0.24809,0.2265,0.61855,0.61988,3.50608,0.78901,0.00034307,0.00034307,0.00034307
4,35.5557,0.73717,0.94769,3.76593,0.89244,0.00378,0.88194,0.19876,0.16123,0.00387,0.90278,0.20057,0.18791,0.60316,0.59461,3.38732,0.81508,0.000454828,0.000454828,0.000454828
5,43.4076,0.75482,0.89164,3.5933,0.8775,0.00368,0.90278,0.25232,0.21129,0.00368,0.90278,0.25232,0.23382,0.58309,0.63291,3.25346,0.84928,0.000564235,0.000564235,0.000564235
6,50.9138,0.74325,0.8998,3.29088,0.86739,0.53648,0.27548,0.36122,0.29849,0.53648,0.27548,0.36122,0.32481,0.69885,0.68312,2.52414,0.86242,0.000594062,0.000594062,0.000594062
7,59.358,0.75745,0.91619,3.05617,0.87803,0.59656,0.28056,0.49759,0.43394,0.59656,0.28056,0.49759,0.44935,0.67756,0.80113,2.50016,0.86116,0.000587875,0.000587875,0.000587875
8,66.5605,0.69709,0.91528,2.9909,0.87051,0.45151,0.52496,0.59536,0.50188,0.45151,0.52496,0.59536,0.55901,0.73252,0.66256,2.10951,0.91722,0.000581687,0.000581687,0.000581687
9,74.7404,0.71576,0.89501,2.99092,0.89297,0.47914,0.67083,0.67101,0.58296,0.47914,0.67083,0.67101,0.59937,0.63005,0.64232,1.92053,0.85677,0.0005755,0.0005755,0.0005755
10,82.8561,0.67762,0.89997,2.73992,0.87122,0.54646,0.68849,0.72951,0.64258,0.54646,0.68849,0.72951,0.68274,0.58313,0.57435,1.72222,0.85094,0.000569313,0.000569313,0.000569313
11,90.2748,0.7082,0.86074,2.6118,0.88252,0.54155,0.73889,0.76199,0.67776,0.54155,0.73889,0.76199,0.71265,0.57193,0.58383,1.55053,0.851,0.000563125,0.000563125,0.000563125
12,98.5521,0.64896,0.91376,2.47361,0.87774,0.70338,0.54836,0.78696,0.73648,0.70338,0.54836,0.78696,0.72846,0.53785,0.63878,1.5133,0.84256,0.000556938,0.000556938,0.000556938
13,105.628,0.66604,0.87772,2.38694,0.87011,0.53841,0.80967,0.81091,0.73865,0.53841,0.80967,0.81091,0.75528,0.5321,0.59858,1.75623,0.8612,0.00055075,0.00055075,0.00055075
14,114.338,0.68398,0.87876,2.30049,0.88696,0.60669,0.81895,0.82702,0.76482,0.60669,0.81895,0.82702,0.77581,0.48898,0.60807,1.33149,0.82792,0.000544563,0.000544563,0.000544563
15,122.763,0.66765,0.84738,2.2048,0.86452,0.64728,0.91416,0.81546,0.7422,0.64728,0.91416,0.81546,0.75243,0.51662,0.59213,1.19518,0.83284,0.000538375,0.000538375,0.000538375
16,129.962,0.61536,0.80586,2.07614,0.85725,0.72079,0.86127,0.86231,0.78035,0.72079,0.86127,0.86231,0.80607,0.48297,0.62891,1.09789,0.83277,0.000532187,0.000532187,0.000532187
17,138.097,0.59414,0.80553,1.94425,0.86,0.7274,0.88653,0.88444,0.80662,0.7274,0.88653,0.88444,0.81291,0.46042,0.55791,0.9737,0.82703,0.000526,0.000526,0.000526
18,145.285,0.62638,0.79825,1.97444,0.86561,0.63226,0.98083,0.96183,0.86933,0.63226,0.98083,0.96183,0.89719,0.5491,0.55848,1.00195,0.84171,0.000519812,0.000519812,0.000519812
19,153.622,0.62244,0.78829,1.82765,0.85723,0.63756,0.94142,0.8801,0.80861,0.63756,0.94142,0.8801,0.81888,0.47331,0.53597,0.99084,0.82215,0.000513625,0.000513625,0.000513625
20,161.984,0.58838,0.81975,1.73847,0.84602,0.62792,0.88012,0.85315,0.80511,0.62792,0.88012,0.85315,0.78528,0.44937,0.52886,1.00081,0.812,0.000507438,0.000507438,0.000507438
21,169.081,0.60408,0.791,1.78523,0.84535,0.67262,0.87767,0.87736,0.7971,0.67262,0.87767,0.87736,0.80723,0.48317,0.54378,0.91352,0.82298,0.00050125,0.00050125,0.00050125
22,177.281,0.55491,0.71771,1.64802,0.84672,0.63578,0.84507,0.89538,0.80856,0.63578,0.84507,0.89538,0.84295,0.50348,0.55193,1.002,0.83421,0.000495063,0.000495063,0.000495063
23,184.504,0.58014,0.75902,1.65312,0.85311,0.71319,0.90536,0.91337,0.83979,0.71319,0.90536,0.91337,0.84718,0.48533,0.52888,0.87875,0.82283,0.000488875,0.000488875,0.000488875
24,193.028,0.57908,0.81052,1.6323,0.85673,0.8129,0.85989,0.91769,0.85363,0.8129,0.85989,0.91769,0.85712,0.47989,0.55269,0.92864,0.82595,0.000482687,0.000482687,0.000482687
25,201.113,0.53343,0.74531,1.55755,0.8412,0.66653,0.83695,0.91831,0.85357,0.66653,0.83695,0.91831,0.86491,0.50047,0.53144,0.96181,0.82722,0.0004765,0.0004765,0.0004765
26,208.268,0.54681,0.74081,1.49153,0.84801,0.77273,0.82348,0.93406,0.85771,0.77273,0.82348,0.93406,0.88076,0.45215,0.51442,0.81684,0.81601,0.000470312,0.000470312,0.000470312
27,216.635,0.53892,0.77393,1.55185,0.85044,0.84733,0.82519,0.93207,0.86348,0.84733,0.82519,0.93207,0.88861,0.48797,0.52761,0.78957,0.82514,0.000464125,0.000464125,0.000464125
28,223.89,0.58735,0.79739,1.5622,0.86287,0.71991,0.94995,0.89768,0.83786,0.71991,0.94995,0.89768,0.84175,0.44389,0.53182,0.86405,0.81302,0.000457938,0.000457938,0.000457938
29,231.877,0.5503,0.77879,1.47417,0.8487,0.69476,0.92778,0.94522,0.87579,0.69476,0.92778,0.94522,0.88217,0.46835,0.53099,0.72691,0.81666,0.00045175,0.00045175,0.00045175
30,240.154,0.53051,0.72418,1.33861,0.84174,0.86066,0.82212,0.9315,0.8735,0.86066,0.82212,0.9315,0.85955,0.42846,0.50885,0.73628,0.80558,0.000445562,0.000445562,0.000445562
31,247.291,0.55642,0.77439,1.33621,0.83455,0.59959,0.99994,0.95344,0.89773,0.59959,0.99994,0.95344,0.88044,0.44043,0.53884,0.78378,0.82022,0.000439375,0.000439375,0.000439375
32,255.431,0.55602,0.7677,1.28567,0.85912,0.93544,0.79128,0.96553,0.90065,0.93544,0.79128,0.96553,0.91876,0.44036,0.50573,0.70864,0.81849,0.000433187,0.000433187,0.000433187
33,262.678,0.54006,0.72438,1.27793,0.83514,0.85746,0.84002,0.94646,0.89244,0.85746,0.84002,0.94646,0.87177,0.4291,0.5205,0.67027,0.82147,0.000427,0.000427,0.000427
34,271.056,0.50741,0.70643,1.24555,0.83491,0.69369,0.91371,0.9534,0.88067,0.69369,0.91371,0.9534,0.89379,0.46074,0.52228,0.77231,0.81552,0.000420812,0.000420812,0.000420812
35,279.226,0.56361,0.74423,1.27876,0.83898,0.83977,0.87321,0.94706,0.88517,0.83977,0.87321,0.94706,0.87218,0.42851,0.52517,0.64804,0.81551,0.000414625,0.000414625,0.000414625
36,286.338,0.50327,0.71086,1.23162,0.8366,0.91253,0.71385,0.95911,0.91358,0.91253,0.71385,0.95911,0.90355,0.41134,0.52844,0.77999,0.81506,0.000408438,0.000408438,0.000408438
37,294.489,0.51582,0.71198,1.20312,0.83973,0.94373,0.75889,0.94522,0.87696,0.94373,0.75889,0.94522,0.88128,0.46124,0.5322,0.68351,0.82936,0.00040225,0.00040225,0.00040225
38,301.53,0.54292,0.75073,1.11416,0.85302,0.78251,0.85603,0.93133,0.86708,0.78251,0.85603,0.93133,0.88132,0.4813,0.52231,0.66648,0.82423,0.000396063,0.000396063,0.000396063
39,309.636,0.50411,0.7307,1.15077,0.83752,0.67297,0.95317,0.95164,0.87937,0.67297,0.95317,0.95164,0.90964,0.45347,0.54407,0.62391,0.8144,0.000389875,0.000389875,0.000389875
