epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08209,1.84611,4.08069,1.61563,0.1249,0.43651,0.13735,0.04236,1.47609,4.24187,1.27614,0.00013,0.00013,0.00013
2,12.2196,1.86204,3.72615,1.60723,0.03697,0.67857,0.20469,0.08013,1.60237,4.22352,1.38236,0.000267327,0.000267327,0.000267327
3,16.2937,1.69782,3.31285,1.50518,0.01194,0.72183,0.17324,0.08979,1.38597,4.21909,1.38002,0.000401882,0.000401882,0.000401882
4,21.5389,1.7138,3.01108,1.43231,0.00632,0.60079,0.19577,0.06381,1.39759,3.95988,1.30311,0.000533665,0.000533665,0.000533665
5,25.6404,1.7237,2.87558,1.47426,0.00539,0.6119,0.19109,0.06449,1.39926,3.83843,1.33296,0.000662676,0.000662676,0.000662676
6,29.7102,1.74151,2.88944,1.56757,0.11912,0.20126,0.14596,0.06354,1.57535,3.54505,1.41776,0.000788915,0.000788915,0.000788915
7,34.8105,1.63996,2.67035,1.4612,0.26172,0.13541,0.13024,0.05556,1.55449,3.50957,1.52244,0.000912382,0.000912382,0.000912382
8,38.7291,1.65457,2.66453,1.47828,0.67707,0.13056,0.17868,0.06333,1.69192,3.35659,1.61102,0.0009307,0.0009307,0.0009307
9,42.6909,1.61798,2.43965,1.44429,0.3183,0.32456,0.36331,0.13962,1.6274,2.68536,1.54581,0.0009208,0.0009208,0.0009208
10,48.5187,1.61424,2.5387,1.45464,0.16656,0.29596,0.20962,0.06416,1.72257,3.35297,1.8151,0.0009109,0.0009109,0.0009109
11,53.3801,1.56094,2.3063,1.42061,0.30838,0.40851,0.30587,0.16283,1.52255,2.52355,1.52039,0.000901,0.000901,0.000901
12,58.2511,1.5662,2.37563,1.42569,0.13795,0.73929,0.31372,0.13934,1.75333,2.95145,1.58199,0.0008911,0.0008911,0.0008911
13,62.4698,1.57546,2.28258,1.43354,0.51532,0.35406,0.36346,0.17114,1.86887,2.77157,1.646,0.0008812,0.0008812,0.0008812
14,66.5232,1.57361,2.26356,1.42485,0.21044,0.57987,0.28918,0.15178,1.55087,2.16826,1.42891,0.0008713,0.0008713,0.0008713
15,71.6496,1.54416,2.30065,1.44037,0.40353,0.38342,0.42796,0.17602,1.61404,2.12467,1.47998,0.0008614,0.0008614,0.0008614
16,75.7065,1.52905,2.14894,1.41471,0.4036,0.5095,0.43793,0.17937,1.78991,2.02245,1.5593,0.0008515,0.0008515,0.0008515
17,79.6438,1.56863,2.16698,1.44132,0.38027,0.6369,0.47775,0.20513,1.61049,2.00043,1.4895,0.0008416,0.0008416,0.0008416
18,84.7952,1.60224,2.29028,1.47991,0.46803,0.50282,0.55334,0.25292,1.66342,2.1224,1.56709,0.0008317,0.0008317,0.0008317
19,88.7565,1.56171,2.181,1.48827,0.56082,0.52937,0.57895,0.2137,1.70428,2.00555,1.59836,0.0008218,0.0008218,0.0008218
20,93.3921,1.51932,2.04652,1.42568,0.43636,0.59309,0.5298,0.22591,1.71398,1.90424,1.5599,0.0008119,0.0008119,0.0008119
21,98.4992,1.51359,2.01315,1.40267,0.7778,0.40057,0.5798,0.21979,1.68964,1.94582,1.54667,0.000802,0.000802,0.000802
22,102.516,1.47587,1.98082,1.40882,0.31516,0.5653,0.4871,0.2181,1.65255,1.94203,1.5016,0.0007921,0.0007921,0.0007921
23,106.496,1.41047,1.94341,1.38258,0.50854,0.76137,0.6421,0.29351,1.67664,1.66108,1.5062,0.0007822,0.0007822,0.0007822
24,111.625,1.49668,1.92102,1.38936,0.34369,0.68095,0.51349,0.23445,1.76706,1.84257,1.60496,0.0007723,0.0007723,0.0007723
25,115.584,1.49675,1.92862,1.39485,0.40812,0.58323,0.54583,0.19469,1.76864,2.04848,1.61545,0.0007624,0.0007624,0.0007624
26,119.636,1.48167,1.94531,1.38945,0.40551,0.77949,0.64635,0.27015,1.55604,1.83484,1.43524,0.0007525,0.0007525,0.0007525
27,124.83,1.44841,1.93223,1.40254,0.37701,0.53189,0.46457,0.20245,1.73975,1.968,1.53598,0.0007426,0.0007426,0.0007426
