epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,61.1315,1.24658,1.04458,2.10935,1.4797,0.20153,0.28571,0.26183,0.19652,0.79741,0.17143,0.19278,0.17899,1.48142,1.10483,2.3957,1.84326,0.00081403,0.00081403,0.00081403
29,63.3135,1.21792,1.05781,2.09799,1.4103,0.21351,0.32011,0.2766,0.19754,0.4,0.19836,0.199,0.18487,1.39759,0.8121,2.26014,1.82872,0.000803031,0.000803031,0.000803031
30,66.1859,1.26638,0.96748,2.07717,1.46411,0.43745,0.31429,0.3053,0.2118,0.79908,0.2,0.199,0.18839,1.40582,0.68317,2.17977,1.86279,0.000792032,0.000792032,0.000792032
31,68.0507,1.25219,1.02359,2.03613,1.40759,0.47165,0.34286,0.34762,0.23291,0.97297,0.2,0.1955,0.1791,1.44718,0.73098,2.23284,1.86149,0.000781033,0.000781033,0.000781033
32,69.9804,1.20361,1.11594,2.01439,1.41046,0.5807,0.31429,0.30733,0.17345,0.73997,0.19989,0.1646,0.12623,1.54453,0.82432,2.32644,1.95757,0.000770034,0.000770034,0.000770034
33,71.8676,1.23523,0.97944,1.99286,1.46309,0.27509,0.34286,0.3397,0.23158,0.37422,0.2,0.1955,0.18211,1.45291,1.07305,2.36367,1.85645,0.000759035,0.000759035,0.000759035
34,73.7331,1.15072,0.97,1.96002,1.36454,0.36987,0.45714,0.36919,0.27185,0.99874,0.2,0.199,0.19353,1.35286,0.60036,2.2276,1.73358,0.000748036,0.000748036,0.000748036
35,75.5886,1.24489,0.9583,2.01627,1.43974,0.24253,0.50549,0.33937,0.21965,0.97303,0.2,0.1955,0.15492,1.31581,1.10975,2.33431,1.70863,0.000737037,0.000737037,0.000737037
36,78.0833,1.19411,0.94615,1.96476,1.40932,0.20461,0.42857,0.31837,0.20626,0.9714,0.2,0.1955,0.14901,1.35454,1.97135,2.31238,1.74486,0.000726038,0.000726038,0.000726038
37,80.7648,1.12971,0.88673,1.91646,1.38349,0.18998,0.34286,0.31225,0.22551,0.99764,0.2,0.199,0.17283,1.31246,0.88883,2.18164,1.76166,0.00071504,0.00071504,0.00071504
38,82.6315,1.20984,0.94151,1.93881,1.45245,0.20662,0.37143,0.32011,0.23585,0.99775,0.2,0.199,0.18352,1.25068,0.58194,2.11192,1.72382,0.000704041,0.000704041,0.000704041
39,84.4812,1.17634,1.06703,1.94853,1.41835,0.28206,0.39908,0.30891,0.21902,0.99834,0.2,0.199,0.18603,1.34647,0.59763,2.16009,1.79338,0.000693042,0.000693042,0.000693042
40,86.3249,1.20284,0.9277,1.90992,1.40633,0.29815,0.53509,0.31816,0.22138,0.99867,0.2,0.199,0.19275,1.36968,0.66283,2.10503,1.84256,0.000682043,0.000682043,0.000682043
41,88.185,1.13614,0.9226,1.85995,1.35573,0.31845,0.4488,0.32518,0.21584,0.99857,0.2,0.199,0.19353,1.35554,0.68453,2.14187,1.77253,0.000671044,0.000671044,0.000671044
42,90.0612,1.15409,0.91976,1.89957,1.3846,0.3286,0.36543,0.35222,0.22199,0.99864,0.2,0.199,0.19193,1.3278,0.64003,2.21716,1.75082,0.000660045,0.000660045,0.000660045
43,93.038,1.17672,0.94845,1.91818,1.40072,0.42625,0.30613,0.35639,0.22705,0.99862,0.2,0.199,0.18949,1.32817,0.59871,2.18548,1.78846,0.000649046,0.000649046,0.000649046
44,95.2166,1.10102,0.89389,1.8148,1.3326,0.30743,0.35643,0.31271,0.22365,0.99869,0.2,0.199,0.19085,1.32509,0.63345,2.25776,1.80021,0.000638047,0.000638047,0.000638047
45,97.0622,1.06629,0.86386,1.81839,1.30601,0.25922,0.37143,0.31362,0.20407,0.99822,0.2,0.199,0.17854,1.25928,0.59772,2.25596,1.728,0.000627048,0.000627048,0.000627048
46,98.8852,1.07848,0.93425,1.83974,1.29326,0.2879,0.4,0.30005,0.20855,0.99856,0.2,0.199,0.1834,1.1942,0.61679,2.21338,1.63595,0.000616049,0.000616049,0.000616049
47,100.756,1.06436,0.88396,1.81057,1.30887,0.26279,0.45714,0.33059,0.23861,0.79845,0.2,0.199,0.18685,1.17224,0.57503,2.12796,1.61793,0.000605051,0.000605051,0.000605051
48,102.84,1.08377,0.93285,1.81109,1.30297,0.27612,0.45714,0.32729,0.23601,0.79866,0.2,0.199,0.18064,1.17356,0.59091,2.08268,1.64277,0.000594052,0.000594052,0.000594052
49,105.168,1.02717,0.86748,1.7726,1.27829,0.29706,0.46606,0.34302,0.24729,0.99858,0.2,0.199,0.18374,1.09012,0.6391,2.00194,1.56519,0.000583053,0.000583053,0.000583053
50,107.999,1.09719,0.85952,1.86983,1.35346,0.34543,0.48571,0.36843,0.26314,0.99857,0.2,0.199,0.19367,1.03611,0.55625,1.98159,1.5255,0.000572054,0.000572054,0.000572054
51,109.88,1.04627,0.83937,1.79481,1.2937,0.36001,0.48571,0.3505,0.25779,0.99859,0.2,0.199,0.19094,1.04552,0.53213,1.9729,1.51536,0.000561055,0.000561055,0.000561055
52,111.775,1.1358,0.99644,1.83072,1.32457,0.27536,0.42247,0.32701,0.23478,0.99838,0.2,0.199,0.19096,1.14498,0.66998,2.09567,1.6437,0.000550056,0.000550056,0.000550056
53,113.596,1.05013,0.92066,1.77037,1.28627,0.23126,0.37143,0.30572,0.22105,0.99807,0.2,0.199,0.18285,1.2917,0.57929,2.17077,1.81351,0.000539057,0.000539057,0.000539057
54,115.459,1.0746,0.93681,1.77554,1.31154,0.24666,0.42857,0.32069,0.21179,0.99739,0.2,0.199,0.17772,1.28196,0.59365,2.14714,1.77108,0.000528058,0.000528058,0.000528058
55,117.373,1.08708,0.94496,1.78349,1.31582,0.32936,0.27961,0.33536,0.21646,0.99778,0.2,0.199,0.17921,1.16773,0.59734,2.14857,1.58445,0.000517059,0.000517059,0.000517059
56,119.912,1.02473,0.90347,1.72725,1.24301,0.23547,0.45714,0.33447,0.21857,0.99712,0.2,0.199,0.17733,1.08863,0.67737,2.11956,1.48374,0.00050606,0.00050606,0.00050606
57,122.476,1.06085,0.92179,1.74597,1.25887,0.22703,0.48571,0.32869,0.21116,0.99319,0.2,0.199,0.1598,1.06305,0.62192,2.20755,1.39553,0.000495062,0.000495062,0.000495062
58,124.522,1.05714,0.88253,1.78278,1.29781,0.19896,0.42857,0.30357,0.21118,0.99258,0.2,0.199,0.17545,1.05968,0.59988,2.14923,1.39683,0.000484063,0.000484063,0.000484063
59,126.342,1.0455,0.88356,1.74913,1.26038,0.25865,0.43991,0.30264,0.22204,0.99862,0.2,0.199,0.18505,1.0981,0.55745,2.02096,1.48172,0.000473064,0.000473064,0.000473064
60,128.149,1.03515,0.91268,1.7201,1.27055,0.24803,0.43591,0.30854,0.22905,0.99856,0.2,0.199,0.18242,1.09232,0.53059,1.9834,1.52131,0.000462065,0.000462065,0.000462065
61,130.055,1.02076,0.81382,1.75078,1.29807,0.27069,0.51429,0.34604,0.23491,0.99877,0.2,0.199,0.17825,1.05009,0.57989,1.95299,1.51348,0.000451066,0.000451066,0.000451066
62,131.92,0.98033,0.87107,1.7097,1.23871,0.31117,0.5024,0.35225,0.26122,0.99888,0.2,0.199,0.18238,1.02554,0.55075,1.92237,1.47387,0.000440067,0.000440067,0.000440067
63,134.654,0.98339,0.84776,1.68491,1.25014,0.32473,0.51429,0.36183,0.26507,0.99883,0.2,0.199,0.19026,1.01909,0.64294,1.90623,1.44675,0.000429068,0.000429068,0.000429068
64,136.858,1.00476,0.86678,1.73447,1.27423,0.31862,0.51648,0.38804,0.29691,0.99861,0.2,0.199,0.19586,0.9641,0.56853,1.84984,1.38405,0.000418069,0.000418069,0.000418069
65,138.751,1.0035,0.88872,1.66999,1.24411,0.32091,0.48571,0.38232,0.29904,0.9987,0.2,0.199,0.19545,0.93954,0.51551,1.80772,1.34506,0.00040707,0.00040707,0.00040707
66,140.698,1.01246,0.85214,1.69994,1.26163,0.31881,0.48571,0.39192,0.29722,0.99862,0.2,0.199,0.19502,0.96196,0.52029,1.78712,1.34812,0.000396071,0.000396071,0.000396071
67,142.587,0.91066,0.82869,1.64476,1.19735,0.30861,0.44972,0.34858,0.27655,0.99821,0.2,0.199,0.19462,0.97314,0.52129,1.77197,1.34596,0.000385073,0.000385073,0.000385073
68,144.682,0.97422,0.85479,1.67464,1.2227,0.3082,0.51429,0.33956,0.26031,0.99844,0.2,0.199,0.19423,0.99411,0.50584,1.77891,1.36888,0.000374074,0.000374074,0.000374074
69,147.055,0.97721,0.87661,1.66905,1.23418,0.31437,0.45714,0.33287,0.26043,0.99857,0.2,0.199,0.19422,0.98913,0.50624,1.78431,1.37304,0.000363075,0.000363075,0.000363075
70,149.93,0.94498,0.85964,1.64979,1.22661,0.33045,0.52045,0.33702,0.2724,0.99862,0.2,0.199,0.19422,0.97728,0.52167,1.80037,1.37151,0.000352076,0.000352076,0.000352076
71,151.806,1.00879,0.87805,1.67109,1.27256,0.30144,0.6,0.33217,0.26162,0.99865,0.2,0.199,0.19501,0.95376,0.54712,1.84279,1.36177,0.000341077,0.000341077,0.000341077
72,153.661,0.97471,0.89811,1.65741,1.22379,0.29311,0.48571,0.35858,0.27076,0.99863,0.2,0.199,0.1942,0.94289,0.54423,1.87344,1.35598,0.000330078,0.000330078,0.000330078
73,155.491,0.95537,0.84126,1.61889,1.22233,0.26903,0.4,0.37652,0.29233,0.99867,0.2,0.199,0.19543,0.91879,0.5143,1.86998,1.36588,0.000319079,0.000319079,0.000319079
74,157.318,0.96161,0.81317,1.65017,1.23109,0.27316,0.45714,0.38244,0.30083,0.9987,0.2,0.199,0.19623,0.90363,0.52349,1.85137,1.36682,0.00030808,0.00030808,0.00030808
75,159.173,0.9367,0.84673,1.5765,1.19905,0.28195,0.47778,0.37106,0.28582,0.99843,0.2,0.199,0.19623,0.88677,0.51921,1.85848,1.3495,0.000297081,0.000297081,0.000297081
76,161.828,0.99386,0.92053,1.65946,1.23936,0.32997,0.53214,0.36075,0.28464,0.99863,0.2,0.199,0.19623,0.91425,0.50437,1.88748,1.36799,0.000286083,0.000286083,0.000286083
77,164.249,0.94839,0.8334,1.63275,1.23411,0.32649,0.53388,0.36245,0.29272,0.99861,0.2,0.199,0.19461,0.93541,0.50255,1.88136,1.38306,0.000275084,0.000275084,0.000275084
78,166.372,0.93162,0.84971,1.64183,1.20504,0.39056,0.48266,0.40976,0.31921,0.99861,0.2,0.199,0.19421,0.9269,0.49949,1.831,1.36394,0.000264085,0.000264085,0.000264085
79,168.24,0.94698,0.82402,1.6156,1.22124,0.40289,0.47028,0.43513,0.3369,0.99859,0.2,0.199,0.18941,0.90784,0.50078,1.79235,1.35479,0.000253086,0.000253086,0.000253086
80,170.109,0.91143,0.81027,1.60516,1.1941,0.37785,0.42857,0.43568,0.33482,0.99862,0.2,0.199,0.19346,0.89372,0.49903,1.78024,1.34801,0.000242087,0.000242087,0.000242087
81,171.978,0.88008,0.83305,1.58662,1.18263,0.36745,0.43666,0.43982,0.31954,0.99864,0.2,0.199,0.19345,0.85852,0.50548,1.79443,1.31392,0.000231088,0.000231088,0.000231088
82,173.846,0.88796,0.82805,1.59758,1.19464,0.38139,0.42857,0.42073,0.32656,0.99867,0.2,0.199,0.19345,0.83129,0.49774,1.79594,1.3021,0.000220089,0.000220089,0.000220089
83,176.781,0.89645,0.83538,1.60546,1.18583,0.36773,0.51429,0.42706,0.32183,0.99871,0.2,0.199,0.19345,0.81113,0.49047,1.77035,1.28461,0.00020909,0.00020909,0.00020909
84,178.938,0.93224,0.84384,1.60123,1.21995,0.35571,0.49914,0.43548,0.33257,0.99866,0.2,0.199,0.19623,0.81301,0.50127,1.77131,1.27755,0.000198091,0.000198091,0.000198091
85,180.85,0.84972,0.82021,1.55031,1.15484,0.506,0.4,0.45219,0.34267,0.99859,0.2,0.199,0.19623,0.81276,0.54806,1.76551,1.27625,0.000187092,0.000187092,0.000187092
86,182.719,0.91115,0.85248,1.55717,1.17712,0.58243,0.39847,0.45974,0.35729,0.99864,0.2,0.199,0.19583,0.80958,0.53646,1.75229,1.27295,0.000176094,0.000176094,0.000176094
87,184.843,0.92937,0.90837,1.59196,1.19407,0.52255,0.4022,0.477,0.35874,0.99861,0.2,0.199,0.19583,0.8016,0.52851,1.7233,1.27168,0.000165095,0.000165095,0.000165095
88,186.694,0.92967,0.86267,1.59886,1.20658,0.50267,0.40768,0.46951,0.33014,0.99866,0.2,0.199,0.19266,0.8135,0.48754,1.70357,1.28006,0.000154096,0.000154096,0.000154096
89,189.2,0.89388,0.85286,1.54935,1.18802,0.45996,0.45714,0.45795,0.32907,0.99866,0.2,0.199,0.19186,0.83492,0.4863,1.70452,1.29117,0.000143097,0.000143097,0.000143097
90,191.844,0.88479,0.79332,1.5591,1.18624,0.454,0.45714,0.44848,0.32689,0.99866,0.2,0.199,0.19266,0.84067,0.48927,1.69824,1.29949,0.000132098,0.000132098,0.000132098
91,196.183,0.88684,0.7329,1.90499,1.36176,0.41243,0.44922,0.44402,0.3244,0.99868,0.2,0.199,0.19186,0.84316,0.49145,1.69998,1.30254,0.000121099,0.000121099,0.000121099
92,198.045,0.75107,0.63172,1.75323,1.18651,0.41024,0.45714,0.44204,0.32243,0.99868,0.2,0.199,0.19187,0.82961,0.48676,1.69999,1.29529,0.0001101,0.0001101,0.0001101
93,199.69,0.84022,0.61199,1.82488,1.29566,0.40172,0.42996,0.44727,0.32864,0.99867,0.2,0.199,0.19187,0.80162,0.48467,1.70271,1.27467,9.91012e-05,9.91012e-05,9.91012e-05
94,201.333,0.79599,0.71732,1.78204,1.23789,0.47785,0.4,0.44853,0.33416,0.99866,0.2,0.199,0.19187,0.78708,0.49554,1.70453,1.26448,8.81023e-05,8.81023e-05,8.81023e-05
95,203.819,0.79376,0.63899,1.78692,1.27051,0.44572,0.4,0.44343,0.34221,0.99868,0.2,0.199,0.19583,0.78079,0.50497,1.69678,1.25945,7.71034e-05,7.71034e-05,7.71034e-05
96,206.175,0.88659,0.65911,1.87797,1.39875,0.41439,0.4,0.44982,0.34322,0.99868,0.2,0.199,0.19543,0.76378,0.5089,1.69712,1.24414,6.61045e-05,6.61045e-05,6.61045e-05
97,207.9,0.77398,0.61446,1.7292,1.29355,0.40292,0.4,0.44743,0.34259,0.99866,0.2,0.199,0.19583,0.75311,0.49256,1.7012,1.24032,5.51056e-05,5.51056e-05,5.51056e-05
98,209.505,0.76984,0.69885,1.77576,1.25635,0.35667,0.54286,0.44759,0.34478,0.99865,0.2,0.199,0.19623,0.74767,0.48419,1.7131,1.24123,4.41067e-05,4.41067e-05,4.41067e-05
99,211.1,0.83997,0.68998,1.83633,1.37262,0.35296,0.54286,0.44616,0.34375,0.99868,0.2,0.199,0.19623,0.74163,0.48562,1.71922,1.24327,3.31078e-05,3.31078e-05,3.31078e-05
100,212.721,0.82209,0.62051,1.78193,1.36341,0.37419,0.55711,0.44731,0.34355,0.9987,0.2,0.199,0.19623,0.73752,0.48779,1.72418,1.24037,2.21089e-05,2.21089e-05,2.21089e-05
