epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66412,2.34943,5.58625,3.55891,2.38496,0.03484,0.71429,0.09137,0.03587,0.00236,0.2,0.01864,0.00495,2.28614,7.82773,3.32085,3.07179,3.333e-05,3.333e-05,3.333e-05
2,5.74355,2.37163,5.47342,3.58078,2.42393,0.00873,0.54286,0.05246,0.0194,0.00201,0.2,0.02779,0.0071,2.27617,6.27852,3.32696,2.89955,7.70001e-05,7.70001e-05,7.70001e-05
3,8.30156,2.17093,4.71879,3.49828,2.24218,0.00455,0.42857,0.06159,0.03558,0.00178,0.2,0.02455,0.01606,1.832,2.08993,3.32337,2.20726,0.00011979,0.00011979,0.00011979
4,10.9954,1.83125,2.88862,3.41762,1.9538,0.07262,0.54286,0.21026,0.12595,0.00142,0.17143,0.12844,0.08803,1.66674,1.49178,3.29783,2.04792,0.0001617,0.0001617,0.0001617
5,13.4626,1.50609,2.11668,3.26837,1.69997,0.00641,0.54286,0.23167,0.16578,0.00135,0.17143,0.1711,0.15073,1.46599,1.25726,3.25195,1.89563,0.000202731,0.000202731,0.000202731
6,15.3051,1.55486,1.84246,3.22335,1.7064,0.00668,0.57143,0.23781,0.17587,0.00143,0.17143,0.17111,0.15073,1.38844,1.16667,3.24909,1.78007,0.000242881,0.000242881,0.000242881
7,17.2088,1.49397,1.61564,3.13127,1.66917,0.03101,0.6,0.28474,0.19806,0.00174,0.2,0.1955,0.16293,1.38787,1.30769,3.24696,1.80246,0.000282152,0.000282152,0.000282152
8,19.1656,1.563,1.36195,3.10038,1.71766,0.03151,0.65714,0.30082,0.1839,0.00194,0.2,0.199,0.17074,1.55415,2.7815,3.25176,1.96264,0.000320542,0.000320542,0.000320542
9,21.2886,1.49289,1.25882,2.99585,1.65681,0.017,0.6,0.2855,0.18862,0.00214,0.2,0.199,0.17832,1.38569,2.14127,3.21592,1.85929,0.000358053,0.000358053,0.000358053
10,24.1005,1.5437,1.19069,2.92999,1.64399,0.02213,0.74286,0.28239,0.15299,0.00249,0.2,0.18478,0.16751,1.59739,6.42723,3.24272,2.08176,0.000394684,0.000394684,0.000394684
11,26.1532,1.5619,1.22788,2.89739,1.66027,0.01643,0.74286,0.26367,0.17931,0.00243,0.17143,0.17118,0.12434,1.49132,4.08977,3.22808,2.00042,0.000430435,0.000430435,0.000430435
12,28.0954,1.47879,1.18386,2.80929,1.61613,0.01787,0.85714,0.28373,0.19534,0.00296,0.17143,0.17122,0.15044,1.41876,2.73991,3.18811,1.92203,0.000465306,0.000465306,0.000465306
13,29.9616,1.46508,1.20492,2.73873,1.61022,0.01897,0.91429,0.32433,0.2283,0.00286,0.17143,0.17121,0.12324,1.29716,2.84886,3.13726,1.85529,0.000499297,0.000499297,0.000499297
14,31.8221,1.45852,1.18099,2.6478,1.60371,0.01778,0.88571,0.33573,0.20339,0.00263,0.17143,0.15386,0.11179,1.40635,4.45885,3.1597,1.93089,0.000532408,0.000532408,0.000532408
15,33.7765,1.48809,1.19751,2.69506,1.60978,1,0.10645,0.30819,0.18453,1,0.10645,0.199,0.13675,1.36152,1.83865,3.05381,1.84446,0.000564639,0.000564639,0.000564639
16,36.6085,1.41669,1.14475,2.60511,1.57256,1,0.11451,0.27594,0.18658,1,0.11346,0.1906,0.14052,1.26502,1.88034,2.99983,1.76133,0.00059599,0.00059599,0.00059599
17,39.1765,1.40786,1.11487,2.52075,1.55635,1,0.13172,0.30966,0.19278,1,0.12784,0.17119,0.12941,1.39962,2.28023,2.98181,1.80411,0.000626462,0.000626462,0.000626462
18,41.0385,1.39513,1.22554,2.51482,1.5349,1,0.19065,0.32828,0.20283,1,0.19065,0.199,0.1417,1.48558,1.47141,2.78881,1.94993,0.000656053,0.000656053,0.000656053
19,42.8786,1.33729,1.06129,2.38462,1.50263,0.98865,0.2,0.30976,0.19663,0.98865,0.2,0.199,0.16976,1.60544,1.11228,2.74413,2.10803,0.000684765,0.000684765,0.000684765
20,44.7757,1.29009,1.06144,2.33729,1.49273,0.99213,0.2,0.3106,0.20131,0.99213,0.2,0.199,0.18141,1.61819,1.22113,2.71418,2.17424,0.000712597,0.000712597,0.000712597
21,46.6736,1.35771,1.12959,2.37699,1.55858,0.99846,0.2,0.3104,0.18912,0.99846,0.2,0.199,0.19106,1.58087,2.36502,2.65651,2.15591,0.000739548,0.000739548,0.000739548
22,48.5671,1.31228,1.09596,2.34836,1.48804,0.97232,0.2,0.28203,0.20202,0.97232,0.2,0.1955,0.17755,1.50179,1.01183,2.56396,2.01648,0.00076562,0.00076562,0.00076562
23,51.3927,1.34658,1.14141,2.27815,1.50514,0.99857,0.2,0.3177,0.21686,0.99857,0.2,0.199,0.17296,1.41925,0.87904,2.39568,1.81378,0.000790812,0.000790812,0.000790812
24,53.5555,1.3384,1.02299,2.24118,1.50354,0.99792,0.2,0.27631,0.20038,0.99792,0.2,0.199,0.16639,1.51578,1.05331,2.36044,1.91759,0.000815124,0.000815124,0.000815124
25,55.3326,1.2719,0.99133,2.22698,1.4592,0.42578,0.28571,0.27011,0.18199,0.99878,0.2,0.199,0.1561,1.57989,1.06964,2.40726,2.1175,0.000838556,0.000838556,0.000838556
26,57.2365,1.31624,1.04855,2.20216,1.50851,0.2274,0.28571,0.26872,0.14464,0.1942,0.17143,0.19278,0.15065,1.74091,1.61232,2.61905,2.15128,0.000836027,0.000836027,0.000836027
27,59.2739,1.21762,1.0254,2.13716,1.42396,0.19716,0.25714,0.25858,0.15155,0.19549,0.17143,0.17157,0.14628,1.61446,2.1511,2.56903,1.90407,0.000825029,0.000825029,0.000825029
