epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.46325,2.25299,4.68528,1.65064,0.00981,0.02744,0.00781,0.00369,1.86384,4.48681,1.24529,0.0001176,0.0001176,0.0001176
2,15.1978,2.02632,4.40995,1.3116,0.00937,0.12108,0.02474,0.00859,1.74614,4.38476,1.16081,0.000239887,0.000239887,0.000239887
3,22.3332,2.07068,3.64949,1.37026,0.0221,0.42069,0.05668,0.02546,1.84674,3.95085,1.19694,0.000360951,0.000360951,0.000360951
4,28.882,2.01878,3.16765,1.31121,0.02319,0.48843,0.08514,0.04192,1.80998,3.65141,1.18158,0.000480793,0.000480793,0.000480793
5,36.1407,2.09743,2.95561,1.33796,0.59132,0.07422,0.11101,0.05248,1.88092,2.93277,1.21307,0.000576358,0.000576358,0.000576358
6,43.5303,1.93286,2.74503,1.2952,0.21816,0.20962,0.16615,0.08396,1.78742,2.40263,1.20044,0.000573447,0.000573447,0.000573447
7,50.571,1.89345,2.58067,1.26672,0.24332,0.26674,0.17498,0.08691,1.7144,2.34038,1.17352,0.000570536,0.000570536,0.000570536
8,56.9516,1.87053,2.45792,1.26578,0.19238,0.37118,0.23269,0.11858,1.69296,2.06364,1.17671,0.000567626,0.000567626,0.000567626
9,64.3623,1.86116,2.39439,1.26488,0.2146,0.4547,0.26713,0.12817,1.69965,1.93763,1.19419,0.000564715,0.000564715,0.000564715
10,70.408,1.82998,2.2923,1.26698,0.2477,0.54383,0.30143,0.1445,1.67403,1.97664,1.17531,0.000561805,0.000561805,0.000561805
11,78.2304,1.75172,2.29214,1.25895,0.27793,0.41327,0.30923,0.14856,1.75307,1.93763,1.23197,0.000558894,0.000558894,0.000558894
12,84.4049,1.75223,2.2067,1.24741,0.28878,0.45683,0.3153,0.15478,1.76639,1.81603,1.22787,0.000555983,0.000555983,0.000555983
13,92.0309,1.75821,2.11672,1.2451,0.31651,0.47603,0.31333,0.13301,1.9108,2.03308,1.32967,0.000553073,0.000553073,0.000553073
14,98.1365,1.77428,2.11021,1.24453,0.33366,0.42803,0.36121,0.18016,1.63551,1.73449,1.18173,0.000550162,0.000550162,0.000550162
15,105.706,1.79332,1.99915,1.23562,0.36071,0.59922,0.41678,0.21878,1.65637,1.63304,1.17756,0.000547252,0.000547252,0.000547252
16,112.338,1.75244,1.92249,1.23431,0.41848,0.45826,0.43891,0.22021,1.6248,1.57458,1.18066,0.000544341,0.000544341,0.000544341
17,120.009,1.67874,1.89231,1.21966,0.36974,0.52834,0.42898,0.19788,1.74961,1.67389,1.24129,0.00054143,0.00054143,0.00054143
18,126.131,1.59798,2.25435,1.137,0.38108,0.6137,0.49264,0.25243,1.61602,1.48197,1.16589,0.00053852,0.00053852,0.00053852
19,133.764,1.69039,1.8201,1.2025,0.3982,0.58813,0.48404,0.25378,1.57742,1.53798,1.15274,0.000535609,0.000535609,0.000535609
20,140.13,1.66988,1.79672,1.22569,0.37937,0.64101,0.5078,0.26953,1.54517,1.43091,1.15826,0.000532699,0.000532699,0.000532699
21,147.787,1.63917,1.80771,1.21262,0.48348,0.58791,0.55391,0.29055,1.51456,1.35623,1.12961,0.000529788,0.000529788,0.000529788
22,153.902,1.68452,1.82477,1.20732,0.47295,0.59913,0.53708,0.27711,1.61054,1.47371,1.16809,0.000526877,0.000526877,0.000526877
23,161.388,1.59621,1.70017,1.18359,0.40748,0.60665,0.48466,0.24339,1.59083,1.65378,1.16615,0.000523967,0.000523967,0.000523967
24,167.465,1.56925,1.69015,1.18748,0.49339,0.57766,0.56567,0.28209,1.61027,1.39609,1.1722,0.000521056,0.000521056,0.000521056
25,175.186,1.64703,1.67628,1.19562,0.48771,0.67575,0.57885,0.29944,1.64546,1.29681,1.17991,0.000518146,0.000518146,0.000518146
26,181.818,1.6277,1.65757,1.19011,0.45753,0.61319,0.56712,0.30632,1.52485,1.32748,1.14601,0.000515235,0.000515235,0.000515235
