epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7857,2.11384,4.35139,1.54674,0.01379,0.22204,0.07968,0.05273,1.37221,3.97147,1.29289,0.000191644,0.000191644,0.000191644
2,33.1793,1.88057,3.47842,1.36368,0.45648,0.09108,0.12637,0.07198,1.45247,2.62906,1.51262,0.000385726,0.000385726,0.000385726
3,47.3878,1.9027,2.9426,1.35857,0.18158,0.18266,0.17491,0.09699,1.28324,2.22955,1.27314,0.000577866,0.000577866,0.000577866
4,61.7811,1.80841,2.62964,1.33936,0.1691,0.29217,0.2095,0.10924,1.335,2.39957,1.24856,0.000579268,0.000579268,0.000579268
5,76.0692,1.70666,2.4557,1.30526,0.23566,0.39502,0.28978,0.15782,1.34427,1.71543,1.4014,0.000576358,0.000576358,0.000576358
6,90.2208,1.74498,2.35348,1.31357,0.27299,0.38293,0.31778,0.17278,1.31674,1.74173,1.2739,0.000573447,0.000573447,0.000573447
7,104.293,1.73083,2.25808,1.33379,0.33139,0.46688,0.35587,0.18937,1.34877,1.59953,1.36998,0.000570536,0.000570536,0.000570536
8,118.481,1.70904,2.10124,1.29517,0.34224,0.37733,0.34045,0.19097,1.27769,1.54597,1.29644,0.000567626,0.000567626,0.000567626
9,132.704,1.67746,2.10911,1.29221,0.32652,0.49374,0.40769,0.22649,1.18869,1.67816,1.18087,0.000564715,0.000564715,0.000564715
10,147.029,1.66727,2.03805,1.27856,0.3655,0.52137,0.40675,0.21791,1.2674,1.83782,1.24371,0.000561805,0.000561805,0.000561805
11,161.242,1.61548,1.95343,1.25172,0.35693,0.54496,0.41297,0.21929,1.25419,1.51897,1.30372,0.000558894,0.000558894,0.000558894
12,175.709,1.61672,1.87992,1.25855,0.41287,0.49864,0.47142,0.26278,1.13174,1.31898,1.10735,0.000555983,0.000555983,0.000555983
13,189.9,1.58082,1.79105,1.24417,0.51876,0.58505,0.55752,0.30605,1.14772,1.22687,1.10401,0.000553073,0.000553073,0.000553073
14,204.27,1.56541,1.72388,1.26604,0.45895,0.63401,0.57415,0.33064,1.15645,1.1727,1.14865,0.000550162,0.000550162,0.000550162
15,218.332,1.55989,1.6962,1.25193,0.49473,0.5587,0.55208,0.28713,1.2419,1.21345,1.26816,0.000547252,0.000547252,0.000547252
16,232.657,1.56639,1.63385,1.24097,0.47899,0.61415,0.56127,0.3045,1.17311,1.16185,1.15493,0.000544341,0.000544341,0.000544341
17,246.968,1.5618,1.66039,1.24966,0.54636,0.71408,0.60517,0.33195,1.17087,1.08771,1.12292,0.00054143,0.00054143,0.00054143
18,261.334,1.58776,1.65752,1.2572,0.53483,0.67174,0.64814,0.37123,1.09833,1.03959,1.10902,0.00053852,0.00053852,0.00053852
19,275.546,1.56797,1.56357,1.22456,0.54943,0.68721,0.63504,0.35819,1.10675,1.04025,1.09024,0.000535609,0.000535609,0.000535609
20,290.101,1.52239,1.60118,1.24021,0.54776,0.72197,0.67681,0.36542,1.14899,0.97074,1.10746,0.000532699,0.000532699,0.000532699
21,304.171,1.53218,1.53639,1.23483,0.55135,0.65776,0.64811,0.38036,1.10382,1.01764,1.11648,0.000529788,0.000529788,0.000529788
22,318.57,1.54654,1.46386,1.22214,0.59164,0.69493,0.68694,0.38523,1.16671,1.05469,1.16309,0.000526877,0.000526877,0.000526877
23,333.103,1.53945,1.4742,1.22638,0.5683,0.65482,0.64882,0.36306,1.12497,1.03044,1.11936,0.000523967,0.000523967,0.000523967
24,347.472,1.52049,1.47458,1.22888,0.61051,0.72497,0.6825,0.38951,1.0944,0.95949,1.10938,0.000521056,0.000521056,0.000521056
25,361.626,1.4462,1.41964,1.20555,0.59875,0.73419,0.70458,0.38876,1.13971,0.95363,1.14888,0.000518146,0.000518146,0.000518146
26,375.781,1.5306,1.41366,1.22194,0.6394,0.72327,0.70497,0.40859,1.07824,0.90341,1.09885,0.000515235,0.000515235,0.000515235
27,389.941,1.52525,1.36648,1.218,0.58793,0.73927,0.6981,0.39499,1.13567,0.95129,1.1397,0.000512324,0.000512324,0.000512324
28,404.021,1.47574,1.31851,1.18991,0.58828,0.72637,0.6684,0.37381,1.20188,1.02596,1.2182,0.000509414,0.000509414,0.000509414
29,418.115,1.44754,1.30627,1.20295,0.61138,0.72108,0.68196,0.33567,1.19329,0.96303,1.15246,0.000506503,0.000506503,0.000506503
30,432.09,1.4744,1.30155,1.19779,0.65021,0.79841,0.7432,0.44015,1.05148,0.893,1.06528,0.000503593,0.000503593,0.000503593
31,446.312,1.45947,1.31157,1.20325,0.59088,0.6933,0.64415,0.37757,1.15977,1.05436,1.16047,0.000500682,0.000500682,0.000500682
32,460.504,1.46222,1.29754,1.19021,0.66991,0.7183,0.71117,0.4168,1.08964,0.9052,1.10832,0.000497771,0.000497771,0.000497771
33,474.844,1.46273,1.28952,1.19112,0.66689,0.77511,0.75234,0.42874,1.11119,0.8786,1.12732,0.000494861,0.000494861,0.000494861
34,489.084,1.45501,1.26223,1.18088,0.59739,0.7048,0.67229,0.36754,1.07974,1.00527,1.08521,0.00049195,0.00049195,0.00049195
35,503.406,1.46709,1.22024,1.18566,0.66586,0.78508,0.74936,0.44277,1.09046,0.85709,1.10215,0.00048904,0.00048904,0.00048904
36,517.627,1.42447,1.23026,1.17849,0.65954,0.77448,0.72202,0.42839,1.08014,0.86846,1.09452,0.000486129,0.000486129,0.000486129
37,531.815,1.42306,1.19816,1.17231,0.67135,0.77,0.75125,0.44539,1.09496,0.8881,1.11364,0.000483218,0.000483218,0.000483218
38,546.101,1.42327,1.16497,1.15743,0.68268,0.67372,0.72114,0.39554,1.13277,0.90426,1.1186,0.000480308,0.000480308,0.000480308
39,560.068,1.4513,1.21845,1.19184,0.69274,0.78105,0.7669,0.45744,1.04427,0.81813,1.07876,0.000477397,0.000477397,0.000477397
40,574.151,1.42469,1.17161,1.19132,0.64218,0.77379,0.76539,0.44361,1.10163,0.84673,1.13933,0.000474487,0.000474487,0.000474487
41,588.239,1.45258,1.16294,1.16729,0.70454,0.76584,0.76001,0.45298,1.064,0.81138,1.0913,0.000471576,0.000471576,0.000471576
42,602.143,1.40157,1.15001,1.15911,0.69233,0.7568,0.75814,0.44689,1.06621,0.79868,1.09937,0.000468665,0.000468665,0.000468665
43,616.233,1.39731,1.1512,1.17052,0.68084,0.75638,0.77665,0.47349,1.04392,0.78846,1.07892,0.000465755,0.000465755,0.000465755
