epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83855,0.85531,4.91734,0.98313,0.00966,0.63889,0.11271,0.09541,0.48293,3.68195,0.78884,0.0001125,0.0001125,0.0001125
2,15.712,0.74324,4.39904,0.88483,0.00519,0.83333,0.18027,0.1458,0.59872,3.58657,0.7856,0.000228961,0.000228961,0.000228961
3,21.6115,0.83034,4.04853,0.92114,0.00494,0.83333,0.25995,0.21766,0.53194,3.45112,0.78307,0.00034307,0.00034307,0.00034307
4,28.5972,0.78867,3.62845,0.9128,0.00415,0.95833,0.24934,0.2173,0.54767,3.3085,0.82901,0.000454828,0.000454828,0.000454828
5,34.2649,0.74972,3.52372,0.9007,0.00343,0.97222,0.30628,0.26874,0.55293,3.29798,0.85428,0.000564235,0.000564235,0.000564235
6,41.0011,0.74249,3.13158,0.89405,0.55996,0.28936,0.39263,0.33315,0.64228,2.32021,0.91981,0.000594062,0.000594062,0.000594062
7,46.8293,0.74009,2.91912,0.90054,0.38786,0.77495,0.56887,0.4678,0.71047,2.01502,0.9575,0.000587875,0.000587875,0.000587875
8,53.4866,0.73378,2.83562,0.93348,0.56592,0.77444,0.65178,0.56057,0.5743,1.7118,0.87641,0.000581687,0.000581687,0.000581687
9,59.144,0.71802,2.6261,0.91723,0.29445,0.70294,0.62254,0.53443,0.60872,1.8358,0.89329,0.0005755,0.0005755,0.0005755
10,65.8323,0.71051,2.52645,0.91783,0.48498,0.83149,0.68412,0.60589,0.5606,1.47045,0.87667,0.000569313,0.000569313,0.000569313
11,71.7373,0.69305,2.35572,0.91671,0.53598,0.84318,0.81753,0.73837,0.54198,1.10515,0.87504,0.000563125,0.000563125,0.000563125
12,78.3708,0.68811,2.31358,0.92408,0.79541,0.69635,0.94454,0.81265,0.68975,1.32257,0.95819,0.000556938,0.000556938,0.000556938
13,84.0884,0.6505,2.08408,0.89121,0.73519,0.87747,0.8636,0.74161,0.60381,1.17724,0.9244,0.00055075,0.00055075,0.00055075
