epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,142.129,0.4733,0.41428,0.43461,0.95804,0.99673,1,0.995,0.93291,0.99673,1,0.995,0.98589,0.38731,0.27625,0.4244,0.88668,0.001406,0.001406,0.001406
32,146.073,0.49305,0.47123,0.42904,0.96363,0.99644,1,0.995,0.93866,0.99644,1,0.995,0.995,0.3973,0.29407,0.4063,0.92235,0.0013862,0.0013862,0.0013862
33,149.998,0.46078,0.43862,0.40615,0.94284,0.99224,1,0.995,0.94553,0.99224,1,0.995,0.98746,0.3471,0.2919,0.38509,0.84455,0.0013664,0.0013664,0.0013664
34,155.055,0.46072,0.45238,0.40216,0.94314,0.99383,1,0.995,0.94369,0.99383,1,0.995,0.98708,0.33859,0.32681,0.34714,0.83627,0.0013466,0.0013466,0.0013466
35,158.936,0.42801,0.43567,0.37272,0.93075,0.99658,1,0.995,0.96765,0.99658,1,0.995,0.995,0.27262,0.2727,0.28796,0.80027,0.0013268,0.0013268,0.0013268
36,162.846,0.41098,0.39218,0.37399,0.93375,0.99551,1,0.995,0.95646,0.99551,1,0.995,0.995,0.31915,0.2625,0.3131,0.81803,0.001307,0.001307,0.001307
37,167.853,0.40722,0.44363,0.3801,0.9269,0.9913,1,0.995,0.9581,0.9913,1,0.995,0.98671,0.31027,0.2626,0.33238,0.83581,0.0012872,0.0012872,0.0012872
38,171.915,0.41874,0.36187,0.37943,0.93473,0.99149,1,0.995,0.995,0.99149,1,0.995,0.96419,0.24474,0.35139,0.31145,0.79141,0.0012674,0.0012674,0.0012674
39,175.825,0.4192,0.40175,0.36778,0.91285,0.98257,1,0.995,0.98054,0.98257,1,0.995,0.9547,0.27519,0.47422,0.39998,0.79955,0.0012476,0.0012476,0.0012476
40,180.778,0.39828,0.37965,0.34916,0.92601,0.95352,1,0.995,0.96478,0.95352,1,0.995,0.995,0.29077,0.21068,0.39193,0.80595,0.0012278,0.0012278,0.0012278
41,184.983,0.40732,0.38069,0.35423,0.9215,0.96877,1,0.995,0.95565,0.96877,1,0.995,0.995,0.26123,0.24096,0.36609,0.80522,0.001208,0.001208,0.001208
42,188.939,0.40172,0.36906,0.35451,0.92869,0.98994,1,0.995,0.96313,0.98994,1,0.995,0.995,0.2551,0.22295,0.34683,0.77477,0.0011882,0.0011882,0.0011882
43,193.87,0.39058,0.36903,0.34205,0.92299,0.99572,1,0.995,0.995,0.99572,1,0.995,0.995,0.25365,0.2078,0.29336,0.78457,0.0011684,0.0011684,0.0011684
44,197.86,0.38866,0.36548,0.34544,0.91069,0.99584,1,0.995,0.95629,0.99584,1,0.995,0.995,0.32256,0.19672,0.30467,0.84411,0.0011486,0.0011486,0.0011486
45,201.85,0.38671,0.368,0.32873,0.90847,0.99535,1,0.995,0.97257,0.99535,1,0.995,0.995,0.26525,0.21582,0.26899,0.80644,0.0011288,0.0011288,0.0011288
46,206.783,0.37795,0.36318,0.34651,0.93075,0.99633,1,0.995,0.96896,0.99633,1,0.995,0.995,0.28642,0.21863,0.30325,0.85264,0.001109,0.001109,0.001109
47,210.597,0.38404,0.40185,0.33351,0.92371,0.99646,1,0.995,0.97973,0.99646,1,0.995,0.995,0.25976,0.20688,0.2632,0.79836,0.0010892,0.0010892,0.0010892
48,214.507,0.3949,0.36686,0.35019,0.95055,0.99652,1,0.995,0.9836,0.99652,1,0.995,0.995,0.25967,0.18568,0.27069,0.81964,0.0010694,0.0010694,0.0010694
49,219.345,0.37449,0.34926,0.32438,0.92743,0.99646,1,0.995,0.95596,0.99646,1,0.995,0.995,0.32615,0.19532,0.3097,0.87341,0.0010496,0.0010496,0.0010496
50,223.222,0.38177,0.35195,0.32494,0.91758,0.99681,1,0.995,0.97352,0.99681,1,0.995,0.995,0.31567,0.20896,0.29685,0.85986,0.0010298,0.0010298,0.0010298
51,227.172,0.36679,0.3437,0.31246,0.91992,0.99675,1,0.995,0.94875,0.99675,1,0.995,0.995,0.29196,0.19184,0.26923,0.84472,0.00101,0.00101,0.00101
52,232.365,0.35954,0.32552,0.31091,0.91991,0.99661,1,0.995,0.98748,0.99661,1,0.995,0.995,0.25582,0.21309,0.24097,0.79141,0.0009902,0.0009902,0.0009902
53,236.249,0.34675,0.3169,0.29937,0.91769,0.99657,1,0.995,0.98867,0.99657,1,0.995,0.995,0.23878,0.1939,0.24455,0.77537,0.0009704,0.0009704,0.0009704
54,240.213,0.34268,0.35401,0.29441,0.90844,0.99685,1,0.995,0.98055,0.99685,1,0.995,0.995,0.24569,0.20169,0.23634,0.78844,0.0009506,0.0009506,0.0009506
55,245.058,0.3371,0.33243,0.29231,0.91194,0.99675,1,0.995,0.98015,0.99675,1,0.995,0.995,0.24504,0.18748,0.23771,0.78028,0.0009308,0.0009308,0.0009308
56,248.88,0.34334,0.32747,0.29023,0.90958,0.99655,1,0.995,0.995,0.99655,1,0.995,0.995,0.21904,0.18421,0.22051,0.77411,0.000911,0.000911,0.000911
57,252.769,0.35735,0.35426,0.29711,0.89683,0.99676,1,0.995,0.995,0.99676,1,0.995,0.995,0.24532,0.18186,0.21137,0.7786,0.0008912,0.0008912,0.0008912
58,257.656,0.33815,0.33716,0.29501,0.91021,0.99681,1,0.995,0.98907,0.99681,1,0.995,0.995,0.20863,0.19421,0.18299,0.75975,0.0008714,0.0008714,0.0008714
59,261.574,0.33079,0.30151,0.27286,0.904,0.99678,1,0.995,0.98364,0.99678,1,0.995,0.995,0.21263,0.19607,0.20764,0.77155,0.0008516,0.0008516,0.0008516
60,265.426,0.34439,0.35056,0.29367,0.916,0.99679,1,0.995,0.995,0.99679,1,0.995,0.995,0.21529,0.18816,0.20707,0.77148,0.0008318,0.0008318,0.0008318
61,270.285,0.33213,0.31342,0.28387,0.89442,0.99679,1,0.995,0.995,0.99679,1,0.995,0.995,0.18816,0.20336,0.1866,0.75926,0.000812,0.000812,0.000812
