epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,490.92,1.43164,1.23329,1.16245,0.70931,0.69323,0.75945,0.44442,1.41123,1.06533,1.15831,0.000468665,0.000468665,0.000468665
43,501.314,1.42055,1.20594,1.15978,0.70518,0.70349,0.75607,0.41314,1.45408,1.04071,1.16334,0.000465755,0.000465755,0.000465755
44,512.953,1.44271,1.14991,1.14377,0.72737,0.72385,0.75763,0.4133,1.45064,0.98314,1.17266,0.000462844,0.000462844,0.000462844
45,524.714,1.4388,1.15684,1.15013,0.6732,0.80614,0.78987,0.42935,1.48274,0.96122,1.18252,0.000459934,0.000459934,0.000459934
46,536.521,1.40992,1.19638,1.14464,0.68055,0.7929,0.75862,0.41777,1.37835,1.02209,1.12798,0.000457023,0.000457023,0.000457023
47,548.378,1.41834,1.21605,1.15332,0.66201,0.78601,0.76575,0.41581,1.40277,0.99731,1.14685,0.000454112,0.000454112,0.000454112
48,559.27,1.41274,1.18469,1.15887,0.67337,0.77825,0.77012,0.44322,1.41098,0.9623,1.16131,0.000451202,0.000451202,0.000451202
49,570.331,1.41486,1.1558,1.14925,0.69949,0.74509,0.76222,0.42064,1.43934,0.98758,1.16753,0.000448291,0.000448291,0.000448291
50,582.024,1.46945,1.18676,1.15223,0.63014,0.75058,0.73678,0.40334,1.45235,1.03474,1.16749,0.000445381,0.000445381,0.000445381
51,593.848,1.39759,1.11432,1.1429,0.71152,0.69774,0.76825,0.40363,1.4731,1.01597,1.2067,0.00044247,0.00044247,0.00044247
52,605.645,1.39561,1.13556,1.1641,0.70686,0.73739,0.7703,0.42601,1.46622,0.98821,1.19033,0.000439559,0.000439559,0.000439559
53,617.057,1.40289,1.12914,1.13562,0.63223,0.79085,0.71594,0.38721,1.484,1.06938,1.1855,0.000436649,0.000436649,0.000436649
54,627.402,1.37879,1.06471,1.13268,0.62473,0.78514,0.74937,0.36498,1.52726,1.08994,1.20043,0.000433738,0.000433738,0.000433738
55,639.164,1.42666,1.1067,1.1492,0.66452,0.78922,0.77136,0.43427,1.44749,1.01787,1.18931,0.000430828,0.000430828,0.000430828
56,651.016,1.38299,1.07657,1.13153,0.71101,0.74248,0.76001,0.42275,1.45428,1.00714,1.17843,0.000427917,0.000427917,0.000427917
57,662.964,1.34807,1.04382,1.13154,0.6689,0.79542,0.77759,0.43276,1.4155,1.03276,1.15322,0.000425006,0.000425006,0.000425006
58,674.68,1.35634,1.0491,1.12681,0.67905,0.73083,0.74225,0.40523,1.40121,1.10836,1.15112,0.000422096,0.000422096,0.000422096
59,685.692,1.38386,1.06768,1.13125,0.69456,0.77292,0.79278,0.41699,1.45778,0.94213,1.17616,0.000419185,0.000419185,0.000419185
60,696.675,1.35134,1.03914,1.11357,0.70599,0.78537,0.78337,0.44687,1.36766,0.98403,1.16055,0.000416275,0.000416275,0.000416275
61,708.497,1.36964,1.03894,1.11669,0.71872,0.81091,0.82089,0.45262,1.39483,0.89646,1.13859,0.000413364,0.000413364,0.000413364
62,720.413,1.3591,1.02815,1.13029,0.74201,0.7413,0.79849,0.45529,1.42057,0.9319,1.16797,0.000410453,0.000410453,0.000410453
63,732.373,1.38935,1.05313,1.12934,0.63189,0.77675,0.73234,0.38768,1.46107,0.98104,1.1824,0.000407543,0.000407543,0.000407543
64,744.005,1.37099,1.03015,1.11239,0.71601,0.7683,0.80806,0.45167,1.45746,0.90518,1.16713,0.000404632,0.000404632,0.000404632
65,754.564,1.34059,1.03163,1.11851,0.73118,0.76753,0.79811,0.41926,1.48705,0.96551,1.18933,0.000401722,0.000401722,0.000401722
66,766.259,1.3258,0.99214,1.10907,0.69516,0.80589,0.79062,0.44665,1.4726,0.94591,1.21256,0.000398811,0.000398811,0.000398811
67,777.98,1.30005,1.01193,1.12777,0.70178,0.79029,0.81131,0.43997,1.49586,0.91626,1.19053,0.0003959,0.0003959,0.0003959
68,789.705,1.32165,1.00531,1.13026,0.61942,0.83312,0.78401,0.4297,1.43859,0.92018,1.16365,0.00039299,0.00039299,0.00039299
69,801.555,1.32775,0.98652,1.10574,0.70469,0.77531,0.77584,0.43859,1.44132,0.96549,1.18952,0.000390079,0.000390079,0.000390079
70,812.327,1.34164,0.97697,1.11199,0.70139,0.82076,0.81032,0.45909,1.52384,0.89429,1.22943,0.000387169,0.000387169,0.000387169
71,823.56,1.34459,0.97998,1.10654,0.71367,0.83625,0.81169,0.44209,1.51378,0.91597,1.20573,0.000384258,0.000384258,0.000384258
72,835.486,1.31296,0.9561,1.10784,0.74349,0.76671,0.82203,0.4607,1.4144,0.90078,1.15865,0.000381347,0.000381347,0.000381347
73,847.334,1.3113,0.97175,1.09835,0.76,0.77194,0.82223,0.45219,1.46965,0.87686,1.17225,0.000378437,0.000378437,0.000378437
74,859.114,1.32443,0.96313,1.08695,0.74081,0.77333,0.81149,0.42991,1.52563,0.97144,1.21229,0.000375526,0.000375526,0.000375526
75,870.316,1.29946,0.96716,1.1033,0.75224,0.77232,0.79856,0.43433,1.47899,0.93297,1.20351,0.000372616,0.000372616,0.000372616
76,881.357,1.30327,0.98916,1.11175,0.70941,0.82844,0.82533,0.45792,1.49834,0.90289,1.20362,0.000369705,0.000369705,0.000369705
77,893.129,1.25723,0.96584,1.10381,0.72766,0.81726,0.82116,0.4652,1.44137,0.87799,1.16815,0.000366794,0.000366794,0.000366794
78,905.125,1.28589,0.9274,1.08094,0.7241,0.82815,0.82115,0.46445,1.4973,0.88835,1.21583,0.000363884,0.000363884,0.000363884
79,916.956,1.2945,0.96722,1.10022,0.7438,0.80849,0.82809,0.43869,1.44313,0.89672,1.14655,0.000360973,0.000360973,0.000360973
80,928.669,1.30731,0.94533,1.08701,0.72092,0.75874,0.79154,0.44124,1.55253,0.90885,1.23107,0.000358063,0.000358063,0.000358063
81,939.344,1.27554,0.94149,1.10558,0.73301,0.82251,0.82624,0.44943,1.50709,0.87178,1.19724,0.000355152,0.000355152,0.000355152
82,950.712,1.29386,0.92225,1.09484,0.73804,0.83745,0.8398,0.47301,1.39289,0.88358,1.13765,0.000352241,0.000352241,0.000352241
83,962.51,1.29079,0.93211,1.09371,0.72881,0.79615,0.82611,0.44443,1.50767,0.89703,1.18705,0.000349331,0.000349331,0.000349331
84,974.398,1.32646,0.94356,1.09646,0.75827,0.78779,0.828,0.45879,1.46978,0.88643,1.17449,0.00034642,0.00034642,0.00034642
85,986.216,1.28872,0.89915,1.07547,0.74217,0.79207,0.8299,0.47193,1.43503,0.88229,1.17706,0.00034351,0.00034351,0.00034351
86,997.919,1.24727,0.88394,1.05977,0.75796,0.7871,0.83742,0.45757,1.5092,0.85885,1.21116,0.000340599,0.000340599,0.000340599
